WAVELENGTH,S-T-00,S-R-00,D-T-00,D-R-00
8140,98.402579,0.455893,99.61776,0.12411
8160,98.479623,0.423522,99.63078,0.11678
8180,98.5985,0.391704,99.64194,0.11038
8200,98.70375122,0.359554283,99.65134,0.10487
8220,98.73911641,0.324441186,99.6591,0.10018
8240,98.750923,0.289037,99.66528,0.0963
8260,98.785855,0.257066,99.66996,0.09317
8280,98.870657,0.230017,99.67325,0.09073
8300,98.952392,0.206127,99.67524,0.08896
8320,98.984322,0.182493,99.67601,0.0878
8340,98.982645,0.161603,99.67566,0.08721
8360,98.99048484,0.147776581,99.67425,0.08715
8380,99.05221451,0.143807831,99.67188,0.08757
8400,99.124001,0.139304,99.66861,0.08845
8420,99.166538,0.126894,99.66453,0.08975
8440,99.155323,0.101831,99.65969,0.09142
8460,99.137947,0.072809,99.65416,0.09344
8480,99.160091,0.05033,99.64802,0.09578
8500,99.216612,0.036568,99.64132,0.0984
8520,99.266406,0.031234,99.6344,0.10127
8540,99.2606192,0.027817933,99.62704,0.10437
8560,99.226464,0.026085,99.61928,0.10768
8580,99.200985,0.02482,99.61119,0.11115
8600,99.234338,0.022789,99.6028,0.11478
8620,99.285379,0.02141,99.59415,0.11853
8640,99.318916,0.019964,99.58533,0.12239
8660,99.289801,0.0199,99.57632,0.12633
8680,99.244711,0.022039,99.56721,0.13033
8700,99.21843678,0.025845262,99.558,0.13438
8720,99.24703602,0.031770308,99.54875,0.13845
8740,99.284371,0.037091,99.53949,0.14253
8760,99.295736,0.040608,99.53024,0.14661
8780,99.253347,0.041181,99.52105,0.15067
8800,99.204455,0.038717,99.51193,0.15469
8820,99.186891,0.034251,99.50291,0.15866
8840,99.228984,0.028644,99.49403,0.16257
8860,99.28402171,0.024866895,99.48529,0.1664
8880,99.31766414,0.02468912,99.47673,0.17015
8900,99.300378,0.029371,99.46835,0.17381
8920,99.275592,0.036369,99.46021,0.17736
8940,99.270026,0.043199,99.45228,0.1808
8960,99.313376,0.047993,99.4446,0.18412
8980,99.362984,0.048092,99.43716,0.18731
9000,99.397035,0.043058,99.43002,0.19037
9020,99.380831,0.033919,99.42382,0.19328
9040,99.35035455,0.022308408,99.41792,0.19605
9060,99.327425,0.011601,99.41232,0.19866
9080,99.352722,0.004359,99.40702,0.20112
9100,99.395394,0.001493,99.40206,0.20342
9120,99.428491,0.002223,99.39742,0.20556
9140,99.415725,0.005912,99.39311,0.20752
9160,99.374525,0.011457,99.38914,0.20932
9180,99.333033,0.017186,99.38551,0.21095
9200,99.32239588,0.02259724,99.38223,0.2124
9220,99.34803566,0.026481143,99.3793,0.21369
9240,99.387719,0.026861,99.37671,0.21479
9260,99.418481,0.023864,99.37447,0.21572
9280,99.421526,0.017429,99.37259,0.21648
9300,99.414961,0.010329,99.37105,0.21706
9320,99.406778,0.004892,99.36986,0.21746
9340,99.41466,0.003533,99.36902,0.21769
9360,99.42806461,0.004876144,99.36852,0.21775
9380,99.43976423,0.007874151,99.36836,0.21764
9400,99.435886,0.010451,99.36855,0.21736
9420,99.417164,0.012563,99.36905,0.21691
9440,99.40471,0.01764,99.36989,0.2163
9460,99.406186,0.026282,99.37105,0.21553
9480,99.436583,0.040312,99.37253,0.2146
9500,99.477361,0.054317,99.37432,0.21351
9520,99.515979,0.064444,99.37683,0.21185
9540,99.52707176,0.064646718,99.37962,0.21005
9560,99.51532,0.055824,99.38268,0.20812
9580,99.501554,0.04372,99.38601,0.20605
9600,99.495329,0.032057,99.38959,0.20386
9620,99.515687,0.024678,99.39342,0.20154
9640,99.543737,0.022216,99.39748,0.19911
9660,99.567359,0.025786,99.40177,0.19656
9680,99.570817,0.034036,99.40628,0.19391
9700,99.55098483,0.046175585,99.41099,0.19116
9720,99.52485762,0.056503432,99.41589,0.18831
9740,99.502468,0.062243,99.42099,0.18537
9760,99.501414,0.058965,99.42625,0.18234
9780,99.509975,0.051097,99.43168,0.17923
9800,99.518652,0.043414,99.43726,0.17605
9820,99.514464,0.041144,99.44297,0.1728
9840,99.485862,0.049062,99.44881,0.16949
9860,99.45315832,0.058550496,99.45479,0.16611
9880,99.42044675,0.068888368,99.46085,0.16269
9900,99.405781,0.072161,99.46702,0.15922
9920,99.412258,0.067337,99.47326,0.15572
9940,99.420382,0.060778,99.47958,0.15218
9960,99.428184,0.054575,99.48595,0.14861
9980,99.416013,0.055304,99.49237,0.14501
10000,99.387359,0.062179,99.49883,0.14141
10020,99.359188,0.067508,99.50096,0.13928
10040,99.332566,0.072094,99.50322,0.13709
10060,99.326291,0.068778,99.5056,0.13484
10080,99.332921,0.060528,99.50809,0.13255
10100,99.340468,0.053689,99.51068,0.1302
10120,99.345675,0.04954,99.51337,0.12782
10140,99.332098,0.055853,99.51614,0.12539
10160,99.309581,0.067117,99.51899,0.12293
10180,99.286368,0.078463,99.52191,0.12044
10200,99.267519,0.08726,99.52489,0.11792
10220,99.265475,0.086492,99.52792,0.11538
10240,99.27213,0.080279,99.531,0.11282
10260,99.281857,0.071534,99.5341,0.11025
