WAVELENGTH,AR Reflecttance @ 00 AOI,AR Reflecttance @ 30 AOI,AR Transmittance @ 00 AOI,AR Transmittance @ 30 AOI
2.394,14.115687,10.417705,64.690796,73.065449
2.396,14.053551,10.381118,64.861759,73.241257
2.398,13.998683,10.330269,64.997673,73.3462
2.4,13.945798,10.26843,65.145436,73.4798
2.402,13.889885,10.206329,65.334779,73.702815
2.404,13.833056,10.156078,65.525137,73.917176
2.406,13.777988,10.12326,65.679434,74.034153
2.408,13.72821,10.087371,65.824431,74.143273
2.41,13.685727,10.029369,65.991893,74.344879
2.412,13.643184,9.965612,66.167893,74.5872
2.414,13.590182,9.927188,66.319887,74.753036
2.416,13.527463,9.911698,66.453652,74.837276
2.418,13.470917,9.881178,66.610562,74.958142
2.42,13.428218,9.815091,66.80859,75.18313
2.422,13.386297,9.747383,66.998955,75.406077
2.424,13.330123,9.710443,67.141143,75.529877
2.426,13.267347,9.684852,67.272851,75.634326
2.428,13.210004,9.642076,67.439371,75.821757
2.43,13.155602,9.587426,67.629247,76.053462
2.432,13.094617,9.540303,67.808173,76.236372
2.434,13.026036,9.50412,67.965313,76.347681
2.436,12.964117,9.458594,68.12515,76.472825
2.438,12.917635,9.392087,68.301384,76.672885
2.44,12.874403,9.323053,68.471581,76.87809
2.442,12.819363,9.269389,68.618221,77.019733
2.444,12.7557,9.229725,68.763376,77.146551
2.446,12.693726,9.195117,68.93378,77.329991
2.448,12.63678,9.157938,69.12262,77.552981
2.45,12.579698,9.114162,69.297886,77.731136
2.452,12.519526,9.063563,69.445146,77.824544
2.454,12.462285,9.009221,69.59442,77.929437
2.456,12.413569,8.95793,69.772837,78.133618
2.458,12.368316,8.910587,69.95538,78.362516
2.46,12.317576,8.86477,70.112408,78.519688
2.462,12.257238,8.817632,70.256205,78.619821
2.464,12.1875,8.767405,70.420014,78.75368
2.466,12.113112,8.71569,70.617601,78.971596
2.468,12.041727,8.672282,70.804652,79.176595
2.47,11.978867,8.640588,70.946908,79.28416
2.472,11.921486,8.609601,71.078938,79.37193
2.474,11.866981,8.56649,71.239308,79.533983
2.476,11.816488,8.512038,71.427433,79.76154
2.478,11.772976,8.458931,71.609705,79.957063
2.48,11.735983,8.414606,71.765298,80.060897
2.482,11.700918,8.36692,71.917675,80.163216
2.484,11.663415,8.305365,72.087053,80.351576
2.486,11.612474,8.246256,72.25779,80.567609
2.488,11.540403,8.205623,72.413772,80.72446
2.49,11.452338,8.184431,72.560131,80.809302
2.492,11.36924,8.161847,72.723028,80.910354
2.494,11.31269,8.117847,72.917194,81.104302
2.496,11.276184,8.061194,73.106017,81.312926
2.498,11.24437,8.004773,73.260676,81.456169
2.5,11.205291,7.949829,73.397445,81.554031
2.502,11.152788,7.891486,73.550013,81.676779
2.504,11.088785,7.830309,73.734495,81.868607
2.506,11.027033,7.778711,73.914814,82.053632
2.508,10.97891,7.742721,74.061273,82.167592
2.51,10.936465,7.713174,74.198703,82.258846
2.512,10.887099,7.676704,74.358085,82.397801
2.514,10.82458,7.629225,74.543963,82.599921
2.516,10.756452,7.579529,74.72079,82.786809
2.518,10.690602,7.535423,74.862557,82.889715
2.52,10.629351,7.4922,74.99975,82.975289
2.522,10.575974,7.444238,75.16202,83.120492
2.524,10.531157,7.393857,75.345352,83.319376
2.526,10.491245,7.346956,75.520891,83.495226
2.528,10.448431,7.305337,75.672071,83.587502
2.53,10.394622,7.261485,75.822723,83.67441
2.532,10.328696,7.209819,75.989178,83.833349
2.534,10.258,7.156884,76.159848,84.045307
2.536,10.193459,7.113051,76.315642,84.225955
2.538,10.14083,7.082601,76.453098,84.316673
2.54,10.093046,7.053074,76.59759,84.397652
2.542,10.042178,7.012724,76.763657,84.542054
2.544,9.987352,6.962975,76.938359,84.732144
2.546,9.930423,6.912686,77.102314,84.892854
2.548,9.871106,6.867533,77.251467,84.97426
2.55,9.804021,6.814545,77.415712,85.05665
2.552,9.731685,6.747658,77.598954,85.211368
2.554,9.675761,6.692408,77.769137,85.395653
2.556,9.652323,6.672791,77.912836,85.539116
2.558,9.664459,6.701322,78.04746,85.607961
2.56,9.648874,6.71342,78.224763,85.698029
2.562,9.543771,6.641314,78.4532,85.891157
2.564,9.384035,6.510414,78.66614,86.133216
2.566,9.270038,6.411506,78.802722,86.307703
2.568,9.274997,6.413002,78.865101,86.360155
2.57,9.301435,6.435086,78.93754,86.398242
2.572,9.259116,6.403254,79.081645,86.514702
2.574,9.131784,6.302771,79.296978,86.716592
2.576,9.015764,6.211636,79.505883,86.895886
2.578,9.011291,6.207047,79.641876,86.958585
2.58,9.036005,6.224138,79.750807,87.002853
2.582,8.99724,6.190235,79.882358,87.132401
2.584,8.85772,6.07749,80.059404,87.378998
2.586,8.7277,5.972473,80.236988,87.603232
2.588,8.726313,5.965553,80.375036,87.675542
2.59,8.776415,6.003901,80.496437,87.684993
2.592,8.768866,6.009341,80.635969,87.761703
2.594,8.606024,5.90946,80.828118,88.023303
2.596,8.408829,5.774449,81.033906,88.298005
2.598,8.350203,5.711188,81.185932,88.379679
2.6,8.409392,5.721272,81.280725,88.324696
2.602,8.463102,5.741963,81.370381,88.310652
2.604,8.40084,5.710118,81.532651,88.513679
2.606,8.262506,5.631083,81.758211,88.824254
2.608,8.134434,5.538326,81.961314,89.030091
2.61,8.106604,5.487555,82.049229,88.988726
2.612,8.122926,5.476142,82.110191,88.93167
2.614,8.125295,5.480931,82.253637,89.035684
2.616,8.08414,5.473151,82.493076,89.291274
2.618,7.976394,5.418153,82.749919,89.575237
2.62,7.834681,5.31233,82.820638,89.618323
2.622,7.753406,5.241025,82.819907,89.572814
2.624,7.754543,5.230558,82.879607,89.594344
2.626,7.807133,5.263461,83.057327,89.738525
2.628,7.827038,5.280882,83.32147,89.963503
2.63,7.705195,5.203106,83.519201,90.120137
2.632,7.525754,5.083182,83.620443,90.184956
2.634,7.398612,4.990783,83.67989,90.212027
2.636,7.403493,4.97404,83.77686,90.270218
2.638,7.439944,4.974644,83.896557,90.348813
2.64,7.430955,4.949246,84.022759,90.435196
2.642,7.345962,4.88194,84.14638,90.523915
2.644,7.239037,4.812406,84.275688,90.62572
2.646,7.181448,4.78594,84.416586,90.746559
2.648,7.160193,4.785839,84.561615,90.871651
2.65,7.14184,4.781167,84.700206,90.981933
2.652,7.083806,4.734932,84.825863,91.063645
2.654,7.01628,4.673811,84.952609,91.140159
2.656,6.966918,4.624407,85.088689,91.232603
2.658,6.952897,4.605619,85.234981,91.350436
2.66,6.943717,4.596285,85.378422,91.470344
2.662,6.906702,4.571556,85.51546,91.575619
2.664,6.831189,4.523186,85.661152,91.683386
2.666,6.726007,4.456379,85.826482,91.824891
2.668,6.63053,4.398239,85.99598,92.013575
2.67,6.566008,4.359022,86.137036,92.167314
2.672,6.533063,4.335422,86.242935,92.237035
2.674,6.515441,4.315592,86.32928,92.204286
2.676,6.490192,4.289956,86.419713,92.179206
2.678,6.444759,4.255655,86.525958,92.234157
2.68,6.372005,4.209255,86.650018,92.401509
2.682,6.293031,4.151668,86.768069,92.559963
2.684,6.232578,4.094184,86.855378,92.605647
2.686,6.197058,4.048258,86.91617,92.563732
2.688,6.175155,4.022676,86.980756,92.537648
2.69,6.148831,4.018204,87.0876,92.623503
2.692,6.105607,4.012613,87.228999,92.782722
2.694,6.034909,3.982356,87.375413,92.942271
2.696,5.941052,3.906137,87.460021,92.974616
2.698,5.862224,3.828673,87.510099,92.946335
2.7,5.819779,3.779366,87.563417,92.926065
2.702,5.820127,3.773477,87.658607,92.971098
2.704,5.822609,3.775023,87.775265,93.049034
2.706,5.793759,3.753515,87.890347,93.127306
2.708,5.718151,3.694101,87.988637,93.1847
2.71,5.624413,3.618446,88.079394,93.228732
2.712,5.561145,3.563443,88.168221,93.270297
2.714,5.537708,3.540257,88.249079,93.309385
2.716,5.530801,3.538112,88.317213,93.346055
2.718,5.504966,3.535804,88.383487,93.384149
2.72,5.447629,3.516626,88.46379,93.433877
2.722,5.353501,3.459771,88.56472,93.500343
2.724,5.251524,3.365303,88.658343,93.564074
2.726,5.179497,3.282315,88.713502,93.570569
2.728,5.150959,3.238127,88.728694,93.502891
2.73,5.157071,3.239041,88.717668,93.355775
2.732,5.167062,3.256015,88.717423,93.223697
2.734,5.160376,3.269993,88.755419,93.169435
2.736,5.107069,3.255524,88.867866,93.288315
2.738,5.009296,3.205394,89.000725,93.470872
2.74,4.892688,3.126751,89.067541,93.559124
2.742,4.81512,3.054218,88.99405,93.408996
2.744,4.785276,3.013813,88.893734,93.201328
2.746,4.779321,2.999306,88.836018,93.045432
2.748,4.777554,2.999502,88.841569,92.969366
2.75,4.764672,2.995781,88.869229,92.924341
2.752,4.728572,2.971683,88.875931,92.870201
