WAVELENGTH,AR-AR-T-00AOI,AR-AR-T-30AOI,AR-AR-T-45AOI,AR-AR-T-55AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,AR-R-00AOI,AR-R-30AOI,DLC-R-00AOI
6.15,54.280686,67.752942,72.119758,72.783264,59.639105,62.311921,64.590454,65.981446,19.489572,14.270144,20.258039
6.152,54.336994,67.812171,72.17472,72.833923,59.672238,62.336735,64.614838,66.000783,19.467572,14.241036,20.242489
6.154,54.397022,67.87295,72.231192,72.885975,59.705761,62.360952,64.638625,66.019434,19.445224,14.211376,20.22658
6.156,54.46103,67.93576,72.289529,72.93982,59.740091,62.385288,64.662445,66.038071,19.422774,14.181021,20.210386
6.158,54.530616,68.001095,72.3501,72.995864,59.775633,62.4104,64.68687,66.057307,19.40007,14.149818,20.19389
6.16,54.607562,68.069548,72.413476,73.054641,59.812148,62.435059,64.710635,66.075813,19.377315,14.117577,20.177185
6.162,54.687552,68.140384,72.478995,73.115506,59.84967,62.460058,64.734601,66.094489,19.353337,14.084531,20.159843
6.164,54.769713,68.212428,72.545544,73.177409,59.888552,62.487507,64.760962,66.115632,19.327939,14.051059,20.141809
6.166,54.851873,68.284753,72.612248,73.239519,59.929147,62.519239,64.791627,66.141228,19.299966,14.017449,20.12253
6.168,54.933714,68.358521,72.680217,73.302847,59.971568,62.554199,64.82551,66.170046,19.26918,13.983281,20.101886
6.17,55.013623,68.432913,72.748662,73.366698,60.015409,62.592396,64.862605,66.202209,19.23619,13.948885,20.080356
6.172,55.091427,68.506475,72.816192,73.429826,60.06021,62.634424,64.903506,66.238519,19.201001,13.914821,20.057952
6.174,55.162951,68.578102,72.88173,73.491285,60.105752,62.681161,64.949097,66.280059,19.16223,13.881519,20.034036
6.176,55.228669,68.648493,72.945907,73.551679,60.152523,62.733209,64.999996,66.327439,19.120206,13.848711,20.00876
6.178,55.291077,68.717869,73.009025,73.611188,60.199971,62.788421,65.054022,66.378238,19.077124,13.816304,19.983159
6.18,55.350234,68.786312,73.071272,73.669876,60.247415,62.844425,65.108761,66.429795,19.033054,13.784257,19.957273
6.182,55.407544,68.853969,73.132824,73.727864,60.294559,62.90004,65.163008,66.480782,18.98929,13.752504,19.931752
6.184,55.462509,68.920852,73.193623,73.785168,60.341829,62.956658,65.21818,66.532758,18.945585,13.721042,19.906472
6.186,55.514722,68.986644,73.253427,73.841513,60.388989,63.013941,65.27394,66.585357,18.901887,13.690009,19.881395
6.188,55.563645,69.051021,73.311994,73.896613,60.435775,63.071459,65.329858,66.638107,18.858253,13.659549,19.85658
6.19,55.607467,69.113359,73.368741,73.949927,60.482048,63.129675,65.386404,66.69157,18.814637,13.629909,19.832071
6.192,55.648685,69.173943,73.423907,74.001702,60.527957,63.188677,65.443668,66.745835,18.771449,13.600972,19.807989
6.194,55.689089,69.234012,73.478691,74.053016,60.573646,63.247089,65.50025,66.799258,18.728933,13.572249,19.784388
6.196,55.729957,69.29479,73.534276,74.104934,60.619252,63.303542,65.554764,66.850212,18.687728,13.543258,19.76157
6.198,55.772807,69.356012,73.590384,74.15724,60.664583,63.357901,65.607096,66.898593,18.648508,13.51408,19.739837
6.2,55.816915,69.417387,73.646749,74.209671,60.709719,63.410791,65.657864,66.945105,18.610672,13.484846,19.7189
6.202,55.861973,69.47944,73.703914,74.26265,60.755021,63.462436,65.707252,66.989913,18.573996,13.455394,19.698636
6.204,55.909017,69.542687,73.762425,74.3166,60.800841,63.513025,65.755408,67.033139,18.538685,13.425573,19.679199
