WAVELENGTH,Normal,20 deg,Normal,20 deg
2.676,18.347933,14.8272,24.789367,22.472269
2.678,18.158801,14.7664,24.715755,22.542238
2.68,17.920181,14.886645,24.63945,22.59888
2.682,17.64203,14.924309,24.535982,22.515564
2.684,17.379838,14.704872,24.408563,22.268582
2.686,17.18298,14.343813,24.30217,21.992873
2.688,17.060773,14.032407,24.265585,21.853892
2.69,16.979878,13.866734,24.321521,21.932059
2.692,16.861702,13.743342,24.359188,22.085627
2.694,16.627124,13.562574,24.224728,22.111361
2.696,16.260598,13.239361,23.787542,21.758186
2.698,15.961704,12.921822,23.382672,21.323255
2.7,15.826807,12.708968,23.22171,21.056806
2.702,15.86222,12.628066,23.372467,21.078289
2.704,15.898701,12.59044,23.569965,21.204076
2.706,15.810781,12.526231,23.629879,21.298352
2.708,15.509421,12.383013,23.443544,21.275206
2.71,15.031397,12.132185,23.104559,21.076061
2.712,14.616317,11.855266,22.871012,20.754292
2.714,14.417629,11.666674,22.850393,20.473923
2.716,14.385362,11.6044,22.971235,20.35783
2.718,14.373423,11.619538,23.137164,20.418075
2.72,14.303158,11.611106,23.26128,20.552756
2.722,14.067382,11.397658,23.118678,20.55432
2.724,13.680653,10.851366,22.508693,20.099859
2.726,13.352187,10.343089,21.93054,19.588231
2.728,13.166862,10.096788,21.692211,19.340972
2.73,13.075027,10.099076,21.810226,19.421568
2.732,13.034247,10.183811,22.021501,19.598082
2.734,13.012096,10.276164,22.214503,19.775168
2.736,12.974683,10.293756,22.249714,19.850705
2.738,12.785311,10.136972,22.029687,19.708174
2.74,12.337386,9.715241,21.495978,19.219245
2.742,11.829519,9.243968,20.990612,18.625266
2.744,11.588675,9.022095,20.819109,18.381165
2.746,11.531197,8.972864,20.852174,18.416465
2.748,11.561367,9.003209,20.987571,18.626458
2.75,11.581733,9.034731,21.101421,18.855215
2.752,11.518208,9.004953,21.088905,18.97596
2.754,11.320784,8.874623,20.880622,18.902995
2.756,11.024416,8.672007,20.56854,18.645148
2.758,10.761401,8.500784,20.356546,18.34432
2.76,10.610454,8.419136,20.324934,18.122028
2.762,10.516761,8.37454,20.343077,18.00269
2.764,10.378652,8.283939,20.268285,17.916124
2.766,10.156841,8.11423,20.063574,17.810489
